Feature	Gain	Cover	Frequency
ctransferencias_emitidas_rank	0.00133772724363544	0.00096569610357414	0.00195975704900792
cmobile_app_trx_lag_2	0.00131471211300779	0.00151935149964106	0.0021142016385123
ccaja_seguridad_rank	0.00130319053357028	0.00245499527123408	0.000603781817093686
Master_mpagospesos	0.00129066845094658	0.000876736366804907	0.00125389701103869
Visa_msaldopesos_lag_1	0.00128960872245475	0.00171862809362345	0.00195613725394141
cpayroll_trx_lag_1	0.0012882951131474	0.000575076701843778	0.000271001990645967
Visa_mconsumosdolares_lag_2	0.00126007881131287	0.00123040162546017	0.00173098600080456
ctarjeta_visa_transacciones_lag_1	0.0012587843123587	0.000926244744290977	0.00153237991148877
mautoservicio_lag_2	0.00123611719920523	0.000888195343172498	0.00160163865709464
cmobile_app_trx	0.0012326395850373	0.00170381599265233	0.00180555377917464
Master_msaldopesos_rank	0.00120118392449503	0.000767459686228256	0.00157219765722037
cpagomiscuentas_rank	0.00119182244570029	0.0016851724460062	0.00149666460016588
Visa_mpagado_rank	0.00117607888557719	0.00197360196976602	0.00195613725394141
Visa_madelantodolares_rank	0.00117380806426662	0.00171339470969031	0.00255243816123098
cseguro_vivienda_rank	0.00116965860224978	0.00156865087832311	0.00175246345153251
ctarjeta_master_transacciones_rank	0.00115341815030465	0.00049301214728942	0.000976379389273003
mpayroll_lag_1	0.0011416552755778	0.00158401478205462	0.000585924161432242
mautoservicio	0.00112660255681797	0.00151950984956198	0.00114192468364801
mtransferencias_emitidas_lag_2	0.00112009066432785	0.00109872497369069	0.00140882423988527
cmobile_app_trx_lag_1	0.00111769683521584	0.00136779657130027	0.0018682968936608
Visa_mconsumosdolares_lag_1	0.00111275560954249	0.00116235417750568	0.00152369240332915
mtransferencias_emitidas	0.00111245588850168	0.00199306403368273	0.00121142474892498
ccaja_seguridad	0.00109876988557756	0.00198037827010094	0.000150824794437871
Master_msaldototal_rank	0.00108915258146029	0.000595400579763975	0.00164145640282624
ctarjeta_debito_transacciones_lag_2	0.00108638106643659	0.000694878051787295	0.0013810724777087
Master_madelantodolares_rank	0.00108396418051548	0.000614498778600917	0.00212843949910724
mtarjeta_visa_consumo_lag_2	0.0010764476938042	0.000986026636915502	0.00159657094400153
cpagodeservicios_rank	0.0010666901960834	0.000606501045912097	0.00157967856702449
ccajas_otras_rank	0.00105927590619495	0.000808923185694123	0.00122300809313781
Visa_mpagosdolares_rank	0.00105824562078207	0.00145123049037149	0.00195661989328362
mcuenta_debitos_automaticos_lag_1	0.00105558826763044	0.000952782788289447	0.00147470451009573
Master_mpagospesos_lag_1	0.00104519362376839	0.00104050102027305	0.00133691097789729
Visa_msaldodolares_rank	0.00103276509592289	0.000556598273343486	0.00124327894551026
mtransferencias_emitidas_lag_1	0.00103263129183279	0.000809370844052528	0.00126330847821161
Master_mpagospesos_lag_2	0.00103140191185154	0.00213983359476658	0.00145684685443429
Visa_mconsumosdolares	0.00102945871768636	0.000961365288975289	0.00140906555955637
Master_msaldototal	0.00102798881692875	0.00112952262658061	0.00109969374120541
Master_mpagominimo_rank	0.00102795295694754	0.00134762544956216	0.0013405307729638
Master_msaldopesos	0.00102767420145547	0.00171648624240093	0.00107459649541094
Master_status_rank	0.00102351856845566	0.00136843025631108	0.00177514750061597
mautoservicio_lag_1	0.00101752149381723	0.000880236030113335	0.00141920098574259
cdescubierto_preacordado_lag_1	0.00100768835264271	0.00025215144672741	0.000389007309814157
ctarjeta_debito_transacciones_lag_1	0.00100184708004987	0.000788070417445528	0.00119139521622363
Master_mpagominimo	0.00099759764190737	0.00156530256446768	0.000905672725640529
ctarjeta_visa_debitos_automaticos_lag_2	0.000992995850515128	0.00151701073559674	0.00104225965948346
Visa_mconsumototal_lag_2	0.000978992975067938	0.000838653788113321	0.00157147369820707
Visa_madelantopesos_rank	0.000977999427316741	0.00111289652189337	0.00224741009695983
cprestamos_personales_lag_1	0.000970376759973182	0.00553247807590662	0.000943077274661121
Master_delinquency_rank	0.000969639369114591	0.00110491304892547	0.00151693545253833
cextraccion_autoservicio_rank	0.000969583269942742	0.000597181465626616	0.00129202551907258
Visa_mconsumototal_lag_1	0.000961312940688867	0.000820327346075428	0.00142644057587561
ctarjeta_visa_debitos_automaticos_lag_1	0.000957880368372406	0.000843054016830624	0.000934389766501499
ccajas_depositos_rank	0.000929823261446627	0.00147741970536632	0.00137093705152247
cextraccion_autoservicio	0.000916951393701889	0.000762157883503856	0.000428825055545755
ccallcenter_transacciones	0.000913464500113767	0.00146257985467305	0.000798526791671865
Visa_mconsumototal	0.000909090820066625	0.00103069396190592	0.00147784166582004
mtarjeta_master_consumo	0.000906878080830918	0.000564743679410201	0.000429790334230158
catm_trx_rank	0.000890463184070605	0.000588217310046306	0.00116871116714018
mpagomiscuentas_lag_2	0.000889571482911136	0.00124366253554278	0.00103091763494174
mtarjeta_visa_consumo_lag_1	0.000863083607487764	0.00064265194003576	0.0013007130272322
ccomisiones_mantenimiento	0.000856426540813376	0.0037974197845296	0.000642392964469781
Master_mpagosdolares_rank	0.000856074635926511	0.000782662293870352	0.00172760752540915
mextraccion_autoservicio_rank	0.00085552224049612	0.000460166310101374	0.000947179709069831
catm_trx_other_rank	0.0008389680713019	0.000503784208547909	0.00123000636359973
mpagomiscuentas	0.000827153920242285	0.00135430537568273	0.000798044152329664
mpagomiscuentas_rank	0.000817937051776511	0.000867958582923762	0.000969622438482186
Master_mconsumospesos_lag_2	0.00081379920141619	0.000750679332368133	0.00109462602811229
cdescubierto_preacordado_lag_2	0.000806381000078035	0.000293105411661029	0.000367771178757305
cplazo_fijo_rank	0.000803327641775378	0.00223651247877878	0.000522457087932786
mextraccion_autoservicio_lag_2	0.000785526376409445	0.000622224388835121	0.00106759822494903
ctarjeta_debito_lag_2	0.000781844249340835	0.0017691246253114	0.00129492135512579
Master_mconsumototal_rank	0.000778961665929456	0.000399046803897449	0.00133449778118628
ctransferencias_recibidas_lag_2	0.000778450157417437	0.000984745929509493	0.00123965915044375
mextraccion_autoservicio	0.000768191842359703	0.000459663676504333	0.000640945046443177
Master_mpagado_rank	0.000767203208984489	0.00093643928353441	0.0014216141824536
ctransferencias_recibidas_lag_1	0.000765951428006627	0.00163860963318012	0.00118608618345942
internet_lag_2	0.000762703131808121	0.00382103897181444	0.00131181373210283
Visa_mpagado_lag_1	0.000750274858410013	0.00113343444824422	0.000784530250748031
Visa_mconsumototal_rank	0.00074764522683028	0.000635472678168922	0.00120756363418737
mpagomiscuentas_lag_1	0.000743620144586734	0.000706490421346384	0.00088178207820157
active_quarter	0.000726681729758146	0.000727788021224155	0.00131374428947163
Master_mconsumospesos_lag_1	0.000722267538899978	0.000651390315595569	0.000974690151575299
ctransferencias_recibidas	0.000720952380000201	0.000736512893511711	0.000913877594457949
cpagomiscuentas_lag_2	0.000699659821951744	0.00114887669749686	0.000691139538032101
ctarjeta_debito	0.000697718924986462	0.00293864229206566	0.0011788465933264
mtarjeta_master_consumo_rank	0.000694464639861764	0.000323470747502348	0.000581821727023532
Visa_status_lag_1	0.000693271609297647	0.0030459696376055	0.000236975917020783
Master_status_lag_1	0.000689596196150686	0.00433653829422983	0.000183161630365351
ccajas_extracciones_rank	0.000686167231949425	0.000859331995878776	0.00115012955246543
ctarjeta_master_debitos_automaticos_rank	0.000677129263892143	0.000486386891173821	0.000905672725640529
Master_msaldodolares_rank	0.000676347002389159	0.000948817079611599	0.0012997477485478
Master_mconsumospesos	0.00067528880594764	0.000615888653493474	0.000858132750433712
cextraccion_autoservicio_lag_2	0.000660497360194757	0.000647959349770015	0.000812282012924599
Master_msaldopesos_lag_1	0.000655495950455975	0.000928698497878267	0.00077632538193061
Master_msaldopesos_lag_2	0.000655377106769972	0.000711337379450045	0.000870440053659842
matm_other_lag_2	0.000649051352746841	0.000767746081674822	0.000643599562825284
thomebanking_lag_1	0.000647095299722549	0.000367247586430605	0.00116460873273147
ctarjeta_visa_debitos_automaticos	0.000644038642318484	0.000421481790700926	0.000728061447710492
ctarjeta_debito_lag_1	0.000636062853898079	0.00106618009690381	0.00106397842988252
Master_msaldototal_lag_1	0.000633463072459488	0.000595136864506385	0.000836172660363558
cforex_sell_rank	0.000633317694278703	0.000658808801035531	0.00112865210173748
mextraccion_autoservicio_lag_1	0.00063293595057917	0.000998790706205335	0.000868750815962138
mtarjeta_visa_descuentos_rank	0.000624783645626589	0.000614069693047936	0.000967450561442281
Master_Finiciomora_lag_1	0.000619852884715091	0.00348387706746144	0.000441132358771886
Master_mpagominimo_lag_2	0.000615278045690703	0.000617294274462227	0.00077632538193061
ctarjeta_master	0.000608078617187403	0.000245855139613642	9.29080733737286e-05
foto_mes	0.000599471559427524	9.21889962213315e-06	6.51563111971603e-05
matm_lag_2	0.000598196456336597	0.000794944293022955	0.000848721283260789
Master_mpagominimo_lag_1	0.000594192476465966	0.000408421930075824	0.000706825316653639
cforex_rank	0.000591201444697625	0.000632121305341249	0.00113130661811958
thomebanking_lag_2	0.000584314811833042	0.000425303906842371	0.00120515043747637
matm_lag_1	0.000582928103051306	0.000628477910150611	0.000740368750936622
ctarjeta_visa_descuentos_rank	0.000570141393290464	0.00112965077827449	0.00103695062671925
tcuentas_rank	0.000566072214553072	0.00229434524870295	0.00120056536372545
thomebanking	0.00056318114467383	0.000638702959490272	0.000804801103120481
cextraccion_autoservicio_lag_1	0.000562627754282685	0.00106675298069414	0.000675453759410562
Visa_mpagado_lag_2	0.000561087876731337	0.00134528159336803	0.000865131020895629
ccuenta_debitos_automaticos_lag_2	0.000555253641807828	0.000608916771365092	0.000715754144484362
Visa_mpagado	0.000547109824201345	0.00141783753509638	0.000684141267570184
ccallcenter_transacciones_lag_1	0.000547044381118073	0.00391346975291754	0.000879851520832765
cpayroll_trx_lag_2	0.000546017905052191	0.000749130875311643	0.000306958621639955
ctransferencias_emitidas_lag_2	0.000543714959060606	0.000462164349815509	0.00066652493157984
mplazo_fijo_dolares_rank	0.000540722189333059	0.00103401031912294	0.000392627104880666
matm_other_lag_1	0.000540260158669885	0.000688704455245417	0.000535729669843318
Master_msaldototal_lag_2	0.000539438639244577	0.000443909067036413	0.000803594504764978
ccallcenter_transacciones_lag_2	0.000532828722014625	0.00240926583923133	0.000766431275415486
mpagodeservicios_rank	0.000531222347797788	0.00046193827119685	0.000878886242148363
mprestamos_prendarios	0.000528296960879249	0.00445193867891392	0.000310578416706464
active_quarter_lag_2	0.000522623292336324	0.00109422326804829	0.00169551200915277
matm_rank	0.000521084284441876	0.000443773264594176	0.000749056259096243
matm_other_rank	0.000518400841789624	0.000476303729043305	0.000717443382182066
ccomisiones_mantenimiento_lag_1	0.000497112537109391	0.00344351315903	0.000741334029621024
ccuenta_debitos_automaticos_lag_1	0.000489107160368787	0.000379262267241178	0.00059750750564507
ccaja_ahorro_lag_2	0.000488176863977599	0.000414154258259877	0.000334227744474323
Visa_cadelantosefectivo_rank	0.000486139983168288	0.000576150188763682	0.00109438470844119
matm	0.000470088960751315	0.000360929441838219	0.000541038702607532
